Name,Origin,Type,Unique Feature,Friendly Rating (1-10),Size,Grooming Needs,Exercise Requirements (hrs/day),Good with Children,Intelligence Rating (1-10),Shedding Level,Health Issues Risk,Training Difficulty (1-10),temperament,origin,country_code,description,breed_group,history,image,weight_min_kg,weight_max_kg,weight_avg_kg,height_min_cm,height_max_cm,height_mid_cm,life_span_min_years,life_span_max_years,life_span_mid_years,temperament list,temperament_clean,affection_sociability,energy_activity,trainability,playfulness,protectiveness,independence,calm_stability,confidence_resilience,image_url
Australian Terrier,Australia,Terrier,Small but tough,7,Small,Moderate,1.5,Yes,7,Low,Low,6,"courageous, alert, friendly, loyal, intelligent",Australia,AU,"Small, sturdy terrier with harsh double coat and distinctive topknot, known for its spirited, alert expression and courageous personality",Terrier,"Developed in Australia during the 19th century from British terrier breeds including Cairn, Skye, and Yorkshire Terriers. Bred as all-purpose exterminators of rodents and snakes, as well as loyal watchdogs and companions. Recognized by AKC in 1960.","{'id': 'WjazcxuOMh', 'url': 'https://storage.googleapis.com/dog-api-uploads-prod/originals/f264d025-4b87-4be4-bf4d-8c7fbb327773.jpeg', 'width': 1120, 'height': 944}",7.0,9.0,8.0,25.0,28.0,26.5,11.0,15.0,13.0,"['courageous', ' alert', ' friendly', ' loyal', ' intelligent']","courageous, alert, friendly, loyal, intelligent",1,0,1,0,1,0,0,0,https://storage.googleapis.com/dog-api-uploads-prod/originals/f264d025-4b87-4be4-bf4d-8c7fbb327773.jpeg
Basenji,Central Africa,Hound,Doesn't bark,6,Small-Medium,Low,2.0,No,6,Low,Low,9,"independent, intelligent, alert, energetic, curious, affectionate",Central Africa,CD,"Small, elegant sighthound from Central Africa with a tightly curled tail, wrinkled forehead, and smooth coat. Known as the 'barkless dog' for its unique yodel-like vocalizations instead of traditional barking.",Hound,"Ancient breed originating in Central Africa, depicted in Egyptian and Babylonian art. Prized by Pygmy tribes and Congo region tribes as versatile hunters for their speed and silence. Brought to England in the 1930s and established in the West.","{'id': '1mYNTc1R6H', 'url': 'https://cdn4.thedogapi.com/optimized/1mYNTc1R6H.jpg', 'width': 1072, 'height': 992}",9.0,12.0,10.5,38.0,44.5,41.25,,,,"['independent', ' intelligent', ' alert', ' energetic', ' curious', ' affectionate']","independent, intelligent, alert, energetic, curious, affectionate",1,1,1,1,1,1,0,0,https://cdn4.thedogapi.com/optimized/1mYNTc1R6H.jpg
Basset Hound,France,Hound,Short legs long body,8,Medium,Low,1.0,Yes,5,Moderate,High,7,"friendly, calm, gentle, loyal, independent, devoted",France,FR,"Low-slung, heavy-boned scent hound with distinctive long, velvety ears, mournful expression, and loose skin. Known for powerful tracking ability and calm demeanor.",Hound,"Developed by French aristocrats from hounds bred at the Abbey of St. Hubert for hunting small game in dense cover. Low-slung body perfected for trailing rabbits and hare, later refined in England for pack hunting.","{'id': 's0vseNSFBF', 'url': 'https://storage.googleapis.com/dog-api-uploads-prod/originals/74b9e98d-60c5-484d-ad62-4db57a0bc47e.jpeg', 'width': 1264, 'height': 848}",18.0,30.0,24.0,33.0,38.0,35.5,12.0,13.0,12.5,"['friendly', ' calm', ' gentle', ' loyal', ' independent', ' devoted']","friendly, calm, gentle, loyal, independent, devoted",1,0,0,0,0,1,1,0,https://storage.googleapis.com/dog-api-uploads-prod/originals/74b9e98d-60c5-484d-ad62-4db57a0bc47e.jpeg
Beagle,England,Hound,Excellent sense of smell,9,Small-Medium,Low,2.0,Yes,7,Moderate,Moderate,7,"friendly, gentle, alert, outgoing, curious, energetic",England,GB,"Compact, merry scent hound with sturdy build, distinctive tri-color or bi-color coat pattern, and cheerful disposition. Originally bred for hunting hare in packs with a distinctive baying voice.",Hound,"The modern Beagle was developed in Great Britain around the 1830s from various English hounds. Bred as 'foot hounds' for hare hunting, with hunters following on foot rather than horseback.","{'id': '5HQ3ZEO0IV', 'url': 'https://storage.googleapis.com/dog-api-uploads-prod/originals/076906f8-69d2-41be-957b-9542e1e36bbc.jpeg', 'width': 1152, 'height': 928}",9.0,14.0,11.5,33.0,41.0,37.0,10.0,15.0,12.5,"['friendly', ' gentle', ' alert', ' outgoing', ' curious', ' energetic']","friendly, gentle, alert, outgoing, curious, energetic",1,1,0,1,1,0,1,0,https://storage.googleapis.com/dog-api-uploads-prod/originals/076906f8-69d2-41be-957b-9542e1e36bbc.jpeg
Bearded Collie,Scotland,Herding,Long shaggy coat,8,Medium,Very High,2.0,Yes,8,High,Low,6,"intelligent, energetic, playful, affectionate, alert, confident, outgoing",Scotland,GB,"Medium-sized herding dog with long, shaggy double coat and animated expression, known for its boisterous, charismatic personality and distinctive bouncing gait",Herding,"Ancient Scottish herding breed developed to drive sheep and cattle in harsh Highland conditions, bred for hardiness, intelligence, and ability to work independently. Nearly extinct after World War II but revived through careful breeding programs. Recognized by Kennel Club in 1959 and AKC in 1977.","{'id': 'BjFmVohkU', 'url': 'https://cdn2.thedogapi.com/images/BjFmVohkU.jpg', 'width': 1280, 'height': 1707}",20.0,25.0,22.5,51.0,56.0,53.5,12.0,14.0,13.0,"['intelligent', ' energetic', ' playful', ' affectionate', ' alert', ' confident', ' outgoing']","intelligent, energetic, playful, affectionate, alert, confident, outgoing",1,1,1,1,1,0,0,1,https://cdn2.thedogapi.com/images/BjFmVohkU.jpg
Bernese Mountain Dog,Switzerland,Working,Tri-colored coat,9,Large,High,1.5,Yes,7,High,High,5,"calm, gentle, loyal, intelligent, affectionate, good-natured",Switzerland,CH,"Large, strong, and sturdy working dog with a distinctive long tricolored coat and calm, gentle temperament. One of four types of Swiss Mountain Dogs, known for being good-natured, loyal, and an excellent family companion.",Working,"One of four types of Swiss Mountain Dogs originating in the canton of Bern. Served as all-purpose farm dogs for droving cattle, pulling carts to market, and watchdogs. Nearly extinct by early 1900s but revived through careful breeding programs","{'id': 'givys4YtVB', 'url': 'https://cdn4.thedogapi.com/optimized/givys4YtVB.jpg', 'width': 896, 'height': 1184}",32.0,52.0,42.0,58.0,70.0,64.0,7.0,10.0,8.5,"['calm', ' gentle', ' loyal', ' intelligent', ' affectionate', ' good-natured']","calm, gentle, loyal, intelligent, affectionate, good-natured",1,0,1,0,0,0,1,0,https://cdn4.thedogapi.com/optimized/givys4YtVB.jpg
Bichon Frise,Mediterranean,Non-Sporting,Cotton-like coat,9,Small,Very High,1.0,Yes,8,Low,Low,5,"happy, playful, affectionate, intelligent, gentle, energetic",France / Belgium,FR,"A small, sturdy, and cheerful companion dog with a soft, curly white double coat, black eyes, and a lively, playful disposition",Non-Sporting,"Descended from the Barbet, a Mediterranean water spaniel. The breed was developed in France and became a popular companion dog for European nobility. The modern breed standard was established in France after World War I.","{'id': 'vxwDW0oGgi', 'url': 'https://storage.googleapis.com/dog-api-uploads-prod/originals/35738179-7493-4377-b52e-3b8387e1a532.jpeg', 'width': 1216, 'height': 880}",5.0,8.0,6.5,24.0,29.0,26.5,,,,"['happy', ' playful', ' affectionate', ' intelligent', ' gentle', ' energetic']","happy, playful, affectionate, intelligent, gentle, energetic",1,1,1,1,0,0,1,0,https://storage.googleapis.com/dog-api-uploads-prod/originals/35738179-7493-4377-b52e-3b8387e1a532.jpeg
Black Russian Terrier,Russia,Working,Black protective coat,7,Large,High,2.0,Yes,8,Moderate,Moderate,8,"confident, courageous, intelligent, protective, calm, loyal",Russia,RU,"Large, powerful, and robust working dog with a distinctive dense black double coat and confident demeanor. Bred for military and guard work, this hardy breed combines courage with intelligence.",Working,"Developed in the Soviet Union in the late 1940s by the state-run Red Star Kennel for military use. Created by crossing Giant Schnauzer, Airedale Terrier, Rottweiler, and other breeds to produce a large, trainable, and hardy guard dog.","{'id': 'nYmx0fLmIr', 'url': 'https://cdn4.thedogapi.com/optimized/nYmx0fLmIr.jpg', 'width': 1232, 'height': 864}",36.0,59.0,47.5,66.0,76.0,71.0,10.0,12.0,11.0,"['confident', ' courageous', ' intelligent', ' protective', ' calm', ' loyal']","confident, courageous, intelligent, protective, calm, loyal",0,0,1,0,1,0,1,1,https://cdn4.thedogapi.com/optimized/nYmx0fLmIr.jpg
Bloodhound,Belgium,Hound,Superior tracking ability,7,Large,Moderate,2.0,Yes,6,Moderate,High,8,"gentle, friendly, independent, alert, devoted, affectionate",Belgium,BE,"Large, substantial scent hound with a noble, dignified expression, characterized by exceptional tracking ability, distinctive wrinkled face, long drooping ears, loose skin, and pendulous jowls. Renowned for its extraordinary sense of smell and unparalleled tracking abilities.",Hound,"Ancient breed developed by monks at the Abbey of Saint-Hubert in Belgium and France during medieval times. Later refined in England and valued for centuries for tracking game and people, eventually imported to the US for search and rescue work.","{'id': 'w4pWqWA1v1', 'url': 'https://storage.googleapis.com/dog-api-uploads-prod/originals/2f5d5e94-a9ae-4d58-a781-ed685181997a.jpeg', 'width': 1232, 'height': 864}",36.0,50.0,43.0,58.0,69.0,63.5,10.0,12.0,11.0,"['gentle', ' friendly', ' independent', ' alert', ' devoted', ' affectionate']","gentle, friendly, independent, alert, devoted, affectionate",1,0,0,0,1,1,1,0,https://storage.googleapis.com/dog-api-uploads-prod/originals/2f5d5e94-a9ae-4d58-a781-ed685181997a.jpeg
Border Collie,UK,Herding,Highest intelligence,8,Medium,High,3.0,Yes,10,Moderate,Low,6,"intelligent, energetic, alert, work-focused, loyal, eager to please",Anglo-Scottish border region,GB,"Medium-sized, highly intelligent, and athletic herding dog with keen expression and intense work drive, renowned for its instinctual ability to control livestock with its signature stare",Herding,"Developed by shepherds on the border of England and Scotland for herding sheep in hilly terrain, refined through selective breeding for working ability. The breed's lineage can be traced back to a single dog named Old Hemp, born in 1893.","{'id': '38KoA9gGB', 'url': 'https://cdn2.thedogapi.com/images/38KoA9gGB.jpg', 'width': 1080, 'height': 1350}",14.0,25.0,19.5,46.0,56.0,51.0,12.0,15.0,13.5,"['intelligent', ' energetic', ' alert', ' work-focused', ' loyal', ' eager to please']","intelligent, energetic, alert, work-focused, loyal, eager to please",0,1,1,0,1,0,0,0,https://cdn2.thedogapi.com/images/38KoA9gGB.jpg
Border Terrier,UK,Terrier,Otter-like head,8,Small,Moderate,1.5,Yes,7,Moderate,Low,6,"affectionate, intelligent, alert, energetic, courageous, adaptable",Border regions between England and Scotland,GB,"Small, sturdy working terrier with weather-resistant wiry coat and distinctive otter-like head, bred for fox hunting with a plucky and affectionate nature",Terrier,Developed in the 18th century in the Cheviot Hills along the English-Scottish border by farmers and shepherds to hunt fox alongside foxhounds. Needed to be small enough to follow quarry into dens and burrows but tough enough to keep up with horses and work independently.,"{'id': 'QfZBKCfJ1v', 'url': 'https://storage.googleapis.com/dog-api-uploads-prod/originals/6fcf6ce9-b2df-45c0-b154-1317df7b6c2c.jpeg', 'width': 1152, 'height': 928}",5.0,7.0,6.0,28.0,41.0,34.5,12.0,15.0,13.5,"['affectionate', ' intelligent', ' alert', ' energetic', ' courageous', ' adaptable']","affectionate, intelligent, alert, energetic, courageous, adaptable",1,1,1,0,1,0,1,0,https://storage.googleapis.com/dog-api-uploads-prod/originals/6fcf6ce9-b2df-45c0-b154-1317df7b6c2c.jpeg
Borzoi,Russia,Hound,Graceful build,6,Large,High,2.0,No,6,Moderate,Low,7,"gentle, independent, calm, intelligent, affectionate",Russia,RU,"Large, elegant sighthound with long, silky flowing coat and aristocratic bearing, known for grace, speed, and gentle nature. Originally bred by Russian nobility for coursing wolves and game.",Hound,Developed by Russian aristocracy in the 17th century for coursing wolves and other game. Also known as Russian Wolfhound until 1936. Numbers dwindled after the Russian Revolution but were preserved by fanciers outside Russia.,"{'id': 'DDaDUnRHoR', 'url': 'https://cdn4.thedogapi.com/optimized/DDaDUnRHoR.jpg', 'width': 1104, 'height': 960}",27.0,48.0,37.5,66.0,81.0,73.5,9.0,14.0,11.5,"['gentle', ' independent', ' calm', ' intelligent', ' affectionate']","gentle, independent, calm, intelligent, affectionate",1,0,1,0,0,1,1,0,https://cdn4.thedogapi.com/optimized/DDaDUnRHoR.jpg
Boston Terrier,USA,Non-Sporting,Tuxedo-like markings,9,Small,Low,1.5,Yes,8,Low,Moderate,5,"friendly, intelligent, outgoing, playful","Boston, Massachusetts, United States",US,"Compact, short-tailed dog with distinctive flat face, erect ears, and smooth 'tuxedo' coat markings. Known as 'The American Gentleman' for its friendly and intelligent demeanor.",Non-Sporting,Developed in Boston in the 1870s from crossing English Bulldog with the now-extinct White English Terrier. Refined in the late 19th century and became one of the first American-developed breeds recognized by the AKC.,"{'id': '0JqHiVXBhZ', 'url': 'https://cdn4.thedogapi.com/optimized/0JqHiVXBhZ.jpg', 'width': 1200, 'height': 896}",5.0,11.0,8.0,38.0,43.0,40.5,11.0,13.0,12.0,"['friendly', ' intelligent', ' outgoing', ' playful']","friendly, intelligent, outgoing, playful",1,0,1,1,0,0,0,0,https://cdn4.thedogapi.com/optimized/0JqHiVXBhZ.jpg
Bouvier des Flandres,Belgium,Herding,Beard and mustache,7,Large,Very High,2.0,Yes,8,High,Moderate,7,"loyal, intelligent, protective, courageous, calm, gentle",Belgium (Flanders region),BE,"Large, powerfully built herding dog with a rugged appearance and rough, tousled double coat. This compact breed gives the impression of great strength without heaviness and has a dense weather-resistant coat suited for farm work.",Herding,"Developed by monks in the Flanders region of medieval Europe as cattle herding and all-purpose farm dog. Used to drive cattle, pull carts, and serve as a watchdog. Nearly extinct after World War I but revived by dedicated breeders.","{'id': 'Yd6NY6nY6u', 'url': 'https://cdn4.thedogapi.com/optimized/Yd6NY6nY6u.jpg', 'width': 1408, 'height': 768}",32.0,50.0,41.0,60.0,70.0,65.0,10.0,12.0,11.0,"['loyal', ' intelligent', ' protective', ' courageous', ' calm', ' gentle']","loyal, intelligent, protective, courageous, calm, gentle",0,0,1,0,1,0,1,0,https://cdn4.thedogapi.com/optimized/Yd6NY6nY6u.jpg
Boxer,Germany,Working,Wrinkled forehead,9,Large,Low,2.0,Yes,7,Moderate,Moderate,6,"playful, energetic, loyal, intelligent, friendly, alert",Germany,DE,"Medium to large, powerful and athletic working dog with a distinctive short-muzzled, flat face and short coat. Known for their fun-loving, bright temperament and expressive face, combining energy with loyalty.",Working,"Developed in late 19th century Germany from the now-extinct German Bullenbeisser (used for hunting large game like boar and bear) and English Bulldog, originally for bull-baiting and hunting, later refined for working and companion roles","{'id': 'hTA7aPcu9S', 'url': 'https://storage.googleapis.com/dog-api-uploads-prod/originals/25802549-e31b-457c-89d9-062e6d47469e.jpeg', 'width': 1232, 'height': 864}",23.0,36.0,29.5,55.0,64.0,59.5,10.0,12.0,11.0,"['playful', ' energetic', ' loyal', ' intelligent', ' friendly', ' alert']","playful, energetic, loyal, intelligent, friendly, alert",1,1,1,1,1,0,0,0,https://storage.googleapis.com/dog-api-uploads-prod/originals/25802549-e31b-457c-89d9-062e6d47469e.jpeg
Briard,France,Herding,Long protective coat,7,Large,High,2.0,Yes,8,Moderate,Low,7,"loyal, intelligent, protective, confident, courageous, devoted",France,FR,"Large, powerful French herding dog with a luxurious long wavy double coat, distinctive beard and eyebrows creating a peek-a-boo hairdo, and a loyal, intelligent disposition",Herding,"Ancient French herding breed developed for centuries to herd and guard flocks. Served as sentries, messengers, and pack animals for the French army during World War I. Nearly extinct after World War II but successfully revived. Recognized by the AKC in 1928.","{'id': 'QHeak9hrOm', 'url': 'https://cdn4.thedogapi.com/optimized/QHeak9hrOm.jpg', 'width': 1200, 'height': 896}",23.0,45.0,34.0,56.0,69.0,62.5,10.0,12.0,11.0,"['loyal', ' intelligent', ' protective', ' confident', ' courageous', ' devoted']","loyal, intelligent, protective, confident, courageous, devoted",1,0,1,0,1,0,0,1,https://cdn4.thedogapi.com/optimized/QHeak9hrOm.jpg
Brittany,France,Sporting,Bright orange coloring,8,Medium,Moderate,2.5,Yes,8,Moderate,Low,5,"intelligent, energetic, eager to please, friendly, athletic, happy","Brittany (Bretagne), France",FR,"Medium-sized, compact and leggy sporting dog with an athletic build and distinctive orange and white feathered coat. Known for its versatility in pointing and retrieving, this agile gundog combines high energy for hunting and field work with an intelligent and happy-go-lucky disposition.",Sporting,Developed in the 17th-18th century in the Brittany province of France as a versatile hunting dog capable of pointing and retrieving on various terrain. Refined through crosses with English Setters and recognized by AKC in 1934.,"{'id': 'UXwmDN19MK', 'url': 'https://storage.googleapis.com/dog-api-uploads-prod/originals/7d55f697-6879-4616-af9d-668aa3226289.jpeg', 'width': 1200, 'height': 880}",14.0,18.0,16.0,44.0,52.0,48.0,12.0,15.0,13.5,"['intelligent', ' energetic', ' eager to please', ' friendly', ' athletic', ' happy']","intelligent, energetic, eager to please, friendly, athletic, happy",1,1,1,0,0,0,0,0,https://storage.googleapis.com/dog-api-uploads-prod/originals/7d55f697-6879-4616-af9d-668aa3226289.jpeg
Bull Terrier,England,Terrier,Egg-shaped head,7,Medium,Low,2.0,With Training,7,Low,Moderate,7,"playful, courageous, energetic, loyal, mischievous",England,GB,"A muscular, well-built terrier best known for its distinctive long, egg-shaped head that slopes down to the nose. This confident breed combines a playful, mischievous personality with a courageous temperament.",Terrier,"Developed in 19th-century England by crossing old English Bulldogs with various terriers, originally for bull-baiting and dog fighting. James Hinks is credited with standardizing the breed and creating the distinctive egg-shaped head, earning them the nickname 'The White Cavalier'.","{'id': '6Dj7tp_vB', 'url': 'https://cdn2.thedogapi.com/images/6Dj7tp_vB.jpg', 'width': 1280, 'height': 1162}",23.0,32.0,27.5,53.0,56.0,54.5,12.0,13.0,12.5,"['playful', ' courageous', ' energetic', ' loyal', ' mischievous']","playful, courageous, energetic, loyal, mischievous",0,1,0,1,1,0,0,0,https://cdn2.thedogapi.com/images/6Dj7tp_vB.jpg
