name,species_id,temperament,origin,country_code,description,breed_group,history,image,weight_min_kg,weight_max_kg,weight_avg_kg,height_min_cm,height_max_cm,height_mid_cm,life_span_min_years,life_span_max_years,life_span_mid_years
Alapaha Blue Blood Bulldog,2,"loyal, protective, intelligent, confident, alert","Alapaha River region of southern Georgia, United States",US,"A powerful, athletic bulldog breed with distinctive blue merle or patched coat patterns and muscular build. Originally developed as a 'catch dog' for farm work, livestock protection, and family guardian with strong protective instincts.",Working,"Developed in the Alapaha River region of southern Georgia as a multi-purpose catch dog for working cattle and hogs, and as a family guardian. Descended from Old English Bulldogs and recreated the original plantation bulldogs of the 1800s, maintained by the Lane family.","{'id': '33mJ-V3RX', 'url': 'https://cdn2.thedogapi.com/images/33mJ-V3RX.jpg', 'width': 1828, 'height': 2065}",25.0,41.0,33.0,46.0,61.0,53.5,12.0,13.0,12.5
Alaskan Husky,2,"energetic, intelligent, work-focused, athletic, friendly, independent","Alaska, United States",US,"Medium-sized athletic sled dog bred for performance rather than appearance, with variable coat colors and exceptional endurance. Built for speed and arctic conditions, this working dog represents a blend of various Northern breeds and pointers optimized for sled racing.",Mixed,"Developed in Alaska as a purpose-bred sled dog through selective breeding of various northern breeds (Siberian Husky, Alaskan Malamute, Inuit dogs) with European breeds like Pointers, Greyhounds, and Salukis to create the ideal combination of speed, endurance, and work ethic for sled racing","{'id': 'Nk8cSr_aj', 'url': 'https://cdn2.thedogapi.com/images/Nk8cSr_aj.jpg', 'width': 1350, 'height': 869}",16.0,27.0,21.5,51.0,66.0,58.5,10.0,15.0,12.5
Alaskan Klee Kai,2,"alert, intelligent, energetic, loyal, curious, playful","Wasilla, Alaska, United States",US,"Small to medium spitz-type dog resembling a miniature Alaskan Husky with striking masked face, erect ears, curled tail, and lively, alert personality",Non-Sporting,"Developed in the 1970s by Linda S. Spurlin in Alaska to create a companion-sized version of the Alaskan Husky. Foundation stock included Siberian and Alaskan Huskies, with potential crosses of Schipperke and American Eskimo Dog to reduce size. Recognized by UKC but not currently AKC recognized.","{'id': '4xSi03c0uC', 'url': 'https://cdn4.thedogapi.com/optimized/4xSi03c0uC.jpg', 'width': 1104, 'height': 960}",4.5,10.4,7.45,33.0,43.0,38.0,,,
Alaskan Malamute,2,"affectionate, friendly, loyal, playful, intelligent, energetic, outgoing","Alaska, United States",US,"An immensely strong, heavy-duty freighting dog of spitz type, the Alaskan Malamute is a large, powerful Arctic sled dog with a thick double coat, deep chest, well-muscled body, wolf-like appearance, and characteristically plumed tail carried over the back",Working,"One of the oldest Arctic sled dogs, developed by the native Mahlemut Inuit tribe of northwestern Alaska. Essential for survival, used for hauling heavy freight across Arctic terrain, hunting large predators like seals and polar bears","{'id': 'GhtSdrW29', 'url': 'https://cdn2.thedogapi.com/images/GhtSdrW29.jpg', 'width': 3888, 'height': 2592}",32.0,41.0,36.5,56.0,66.0,61.0,10.0,14.0,12.0
Alopekis,2,"intelligent, alert, loyal, adaptable, energetic, playful",Greece,GR,"Small, fox-like Greek primitive landrace breed with wedge-shaped head and agile build, historically used as an all-purpose farm dog for companionship, watching, and vermin control",Primitive,"Ancient Greek landrace breed with depictions found on ancient pottery, traditionally used as versatile farm companion for vermin control and watchdog duties. Kept for thousands of years in rural Greek communities, with current preservation and standardization efforts ongoing for official recognition.","{'id': 'aaYs2IPh2L', 'url': 'https://storage.googleapis.com/dog-api-uploads-prod/originals/f486f51f-73fb-4e75-b79d-45aeaaa0f471.jpeg', 'width': 1408, 'height': 768}",3.0,7.0,5.0,20.0,32.0,26.0,,,
Alpine Dachsbracke,2,"intelligent, courageous, loyal, work-focused, energetic",Austria,AT,"Sturdy, short-legged Austrian scent hound with dense double coat, originally bred for tracking wounded game in high-altitude Alpine terrain. Built low-to-the-ground with a robust, weather-resistant build designed for rugged mountainous conditions.",Hound,"Developed in the Austrian Alps during the mid-19th century as a durable scent hound for tracking wounded deer, boar, and hare over rugged terrain. Descended from larger Austrian hounds crossed with Dachshunds, it was a favorite of Crown Prince Rudolf of Habsburg and is officially recognized by the FCI.","{'id': 'CDaBctcuIR', 'url': 'https://cdn4.thedogapi.com/optimized/CDaBctcuIR.jpg', 'width': 1360, 'height': 784}",15.0,18.0,16.5,34.0,42.0,38.0,12.0,14.0,13.0
American Bulldog,2,"confident, loyal, protective, energetic, affectionate, courageous",United States,US,"A powerful, athletic, short-coated dog of the molosser type with a broad head and muscular build, known for its confidence, strength, and loyalty as a family companion and guardian. Originally bred for farm work and protection.",Working,"Descended from Old English Bulldogs brought by working-class immigrants to the American South. Developed as versatile all-around farm utility dogs for guarding property, catching livestock, and protection. The breed was preserved from near extinction after WWII by breeders John D. Johnson and Alan Scott.","{'id': 'jDnFo8MXy', 'url': 'https://cdn2.thedogapi.com/images/jDnFo8MXy.jpg', 'width': 2560, 'height': 1920}",27.0,45.0,36.0,51.0,64.0,57.5,10.0,12.0,11.0
American Bully,2,"confident, gentle, loyal, affectionate, outgoing, eager to please",United States,US,"A compact, muscular companion breed with a powerfully built body, broad head, and confident demeanor. Known for its gentle, affectionate nature and loyalty to family, the American Bully was developed from American Pit Bull Terriers and other bully breeds to create an excellent companion dog with a stable temperament.",Companion,"Developed in the United States between the 1980s and 1990s as a companion breed through selective breeding of American Pit Bull Terriers, American Staffordshire Terriers, and other bulldog-type breeds to produce a dog with a gentler temperament and more muscular, 'bullier' physique. Recognized by the United Kennel Club in 2013.","{'id': 'KcUu-6YV0', 'url': 'https://cdn2.thedogapi.com/images/KcUu-6YV0.jpg', 'width': 2048, 'height': 1365}",25.0,54.0,39.5,41.0,51.0,46.0,8.0,13.0,10.5
American Cocker Spaniel,2,"gentle, smart, happy, outgoing, affectionate",United States,US,"The smallest member of the Sporting Group, the American Cocker Spaniel is a medium-sized sporting dog with a beautifully chiseled head, long flowing silky coat, long ears, and gentle expression",Sporting,"Developed in the United States from English Cocker Spaniels brought over in the late 1800s. American breeders selected for smaller size, more refined head, and heavier coat for woodcock hunting, leading to recognition as a separate breed by the AKC in 1946","{'id': 'IKwhmJWCwN', 'url': 'https://cdn4.thedogapi.com/optimized/IKwhmJWCwN.jpg', 'width': 1200, 'height': 880}",9.0,14.0,11.5,34.0,39.0,36.5,10.0,14.0,12.0
American English Coonhound,2,"energetic, friendly, intelligent, alert, work-focused",United States,US,"Athletic medium to large scent hound with excellent tracking ability, swift and powerful build, and a hard, protective short coat. Bred for treeing raccoons and fox, known for speed, endurance, and distinctive melodious baying.",Hound,"Descended from English Foxhounds brought to American colonies in the 17th and 18th centuries. Developed by breeders in the American South for hunting raccoons and foxes in rougher terrain, recognized by AKC in 2011","{'id': 'QZZXQl1UXs', 'url': 'https://cdn4.thedogapi.com/optimized/QZZXQl1UXs.jpg', 'width': 1392, 'height': 768}",18.0,30.0,24.0,58.0,66.0,62.0,11.0,12.0,11.5
American Eskimo Dog,2,"intelligent, alert, friendly, playful, energetic, eager to please",United States,US,"Compact spitz-type companion dog with distinctive dense white double coat, black points on lips, nose, and eye rims, wedge-shaped head, and plumed tail carried over the back. Available in three sizes (toy, miniature, standard) with an alert expression and striking appearance.",Non-Sporting,"Descended from white German Spitz dogs brought to America by German immigrants. Name changed from German Spitz to American Eskimo Dog during World War I due to anti-German sentiment. Became popular circus performers in the 19th and early 20th centuries, recognized by AKC in 1994","{'id': 'EB8A5HQHX', 'url': 'https://cdn2.thedogapi.com/images/EB8A5HQHX.jpg', 'width': 1920, 'height': 1631}",3.0,16.0,9.5,23.0,48.0,35.5,,,
American Foxhound,2,"independent, friendly, gentle, energetic, intelligent",United States,US,"A sleek, powerful scenthound with a long, fine-boned body and athletic build, known for incredible stamina, speed, and melodious baying voice. One of the oldest American-bred dogs, developed for endurance and pack hunting.",Hound,"Developed from English Foxhounds imported to Colonial America in the 1650s, refined for American terrain and fox hunting. George Washington was a key figure in the breed's development, breeding them to be lighter, taller, and faster for hunting American red fox over varied terrain.","{'id': 'S14n1x9NQ', 'url': 'https://cdn2.thedogapi.com/images/S14n1x9NQ_1280.jpg', 'width': 3000, 'height': 2400}",27.0,32.0,29.5,53.0,64.0,58.5,11.0,13.0,12.0
American Hairless Terrier,2,"alert, energetic, intelligent, friendly, playful, curious",United States,US,"Small to medium-sized, active and inquisitive terrier that comes in both hairless and coated varieties, notable for its alert expression, compact build, and friendly, intelligent nature",Terrier,"Originated in Louisiana in 1972 when a hairless puppy named Josephine was born in a litter of Rat Terriers. Developed by Edwin and Willie Scott, recognized by UKC in 1999 and AKC in 2016","{'id': 'ah0OKUinZL', 'url': 'https://cdn4.thedogapi.com/optimized/ah0OKUinZL.jpg', 'width': 848, 'height': 1264}",5.0,7.0,6.0,30.0,41.0,35.5,,,
American Leopard Hound,2,"intelligent, energetic, loyal, work-focused, protective, athletic",United States,US,"Medium to large athletic scent hound known for its distinctive leopard-spotted or patched coat pattern and exceptional tracking ability. A tough, powerful, and driven American tree and trailing hound with strong hunting instincts and versatile hunting capabilities.",Hound,"One of the oldest American tree hound breeds, developed in North Carolina from dogs brought by Spanish conquistadors crossed with other scent hounds. Officially recognized by United Kennel Club in 1960s, bred for exceptional trailing and treeing abilities on variety of game.","{'id': 'CoV6SyP6Hk', 'url': 'https://cdn4.thedogapi.com/optimized/CoV6SyP6Hk.jpg', 'width': 1200, 'height': 896}",16.0,34.0,25.0,53.0,69.0,61.0,12.0,15.0,13.5
American Pit Bull Terrier,2,"confident, intelligent, loyal, affectionate, eager to please, energetic",United States,US,"Medium-sized, muscular terrier with athletic build and short coat, known for its strength, confidence, intelligence, and affectionate nature towards people. Possesses great strength for its size and is both athletic and agile.",Terrier,Developed in the late 19th century from English bull-and-terrier breeds brought to America. Originally bred for bull-baiting and later refined as all-around farm dogs and loyal family companions. First recognized by the United Kennel Club in 1898.,"{'id': 'oFvaQYx899', 'url': 'https://storage.googleapis.com/dog-api-uploads-prod/originals/a728c8bc-2a50-4d54-a903-91e5ab416294.jpeg', 'width': 1312, 'height': 816}",14.0,27.0,20.5,43.0,53.0,48.0,12.0,16.0,14.0
American Staffordshire Terrier,2,"confident, courageous, loyal, intelligent, smart",United States,US,"A muscular, stocky, but agile medium-sized terrier of remarkable strength with a broad head, strong build, smooth coat and confident, good-natured personality",Terrier,"Developed in the 19th century from crosses of bulldogs and terriers brought to America in the 1800s. Originally bred for bull-baiting and pit fighting, later refined to be larger than English Staffordshire Bull Terriers and developed into all-purpose farm dogs and family companions. Recognized by the AKC in 1936.","{'id': '1AXCw6rj56', 'url': 'https://storage.googleapis.com/dog-api-uploads-prod/originals/fae232c8-6b6a-4b93-9f8a-09d0339b2a48.jpeg', 'width': 1008, 'height': 1056}",18.0,32.0,25.0,43.0,48.0,45.5,12.0,16.0,14.0
American Water Spaniel,2,"eager to please, intelligent, energetic, alert, happy","Wisconsin, United States",US,"Medium-sized versatile sporting dog with distinctive curly or wavy chocolate or liver coat, bred for hunting waterfowl in the icy waters and marshy banks of the Great Lakes region",Sporting,"Developed in the 19th century in the Fox and Wolf River valleys of Wisconsin as a compact, versatile hunter that could work from a skiff or boat. Ancestry likely includes Irish Water Spaniel and Curly-Coated Retriever. Named the state dog of Wisconsin in 1985 and foundation breed for the Boykin Spaniel, recognized by AKC in 1940.","{'id': 'SkmRJl9VQ', 'url': 'https://cdn2.thedogapi.com/images/SkmRJl9VQ_1280.jpg', 'width': 1600, 'height': 1264}",11.0,20.0,15.5,38.0,46.0,42.0,10.0,14.0,12.0
Andalusian Terrier,2,"intelligent, energetic, alert, loyal, courageous, playful","Andalusia, Spain",ES,"A slender, medium-sized Spanish working terrier with a predominantly white coat and characteristic head markings, known for its lively, athletic nature and energetic, alert temperament",Terrier,"Developed in the late 19th and early 20th centuries in the Andalusia region of Spain, particularly in the province of Cádiz. Originated from crosses between Fox Terriers brought by English wine merchants and local ratter dogs used to control vermin in wineries (bodegas). Traditional Spanish working terrier developed for vermin control, hunting, and farm work; recognized by regional and national breed clubs in Spain though not by AKC or FCI","{'id': 'CsraIMHSeT', 'url': 'https://cdn4.thedogapi.com/optimized/CsraIMHSeT.jpg', 'width': 928, 'height': 1152}",8.0,12.0,10.0,36.0,43.0,39.5,12.0,15.0,13.5
Anglo-Français de Petite Vénerie,2,"energetic, intelligent, alert, loyal, work-focused, devoted",France,FR,"Medium-sized, elegant and well-balanced French scenthound with a short tricolor coat, bred for hunting small game in packs with excellent scenting ability and strong pack hunting instincts",Hound,Developed in France by crossing English Foxhounds and Harriers with various French scenthound breeds like the Poitevin and Porcelaine to create efficient pack hounds suited for 'petite vénerie' - the hunting of small game,"{'id': 'FXEdpvJhEP', 'url': 'https://storage.googleapis.com/dog-api-uploads-prod/originals/882efc4d-12ea-4da2-ac75-90a116e8c86b.jpeg', 'width': 1408, 'height': 768}",16.0,20.0,18.0,48.0,56.0,52.0,12.0,14.0,13.0
Appenzeller Sennenhund,2,"energetic, intelligent, confident, loyal, alert, work-focused","Appenzell region, Switzerland",CH,"Medium-sized, muscular and agile Swiss mountain dog with distinctive tricolor coat and tightly curled tail carried over the back. Known for their lively, self-assured expression and work-focused temperament, this ancient breed combines herding instincts with guarding abilities.",Working,"One of the four Swiss Sennenhund breeds, this ancient breed from the Appenzell region was used for centuries as an all-purpose farm dog for herding cattle, guarding property, and pulling carts. Formally established in the late 19th century through the efforts of forester Max Siber and Professor Albert Heim.","{'id': 'lIYQQfaDwr', 'url': 'https://storage.googleapis.com/dog-api-uploads-prod/originals/2d8c642c-6f86-4275-bbba-a7f0a1c088f5.jpeg', 'width': 864, 'height': 1216}",20.0,32.0,26.0,48.0,56.0,52.0,12.0,15.0,13.5
Argentine Pila,2,"affectionate, alert, playful, gentle, intelligent",Argentina,AR,"An elegant and slender hairless dog native to Argentina, known for its soft, warm skin and lively, alert temperament. The breed comes in three size varieties and is prized as a companion dog.",Spitz and Primitive Types,"An ancient hairless breed native to Argentina, believed to have descended from dogs brought by pre-Incan peoples. Related to other South American hairless breeds and traditionally kept as a companion for perceived therapeutic warmth among indigenous peoples.","{'id': '4SKqYWkRnW', 'url': 'https://cdn4.thedogapi.com/optimized/4SKqYWkRnW.jpg', 'width': 1312, 'height': 816}",4.0,25.0,14.5,25.0,51.0,38.0,12.0,15.0,13.5
Ariégeois,2,"gentle, calm, intelligent, loyal, affectionate, friendly","Ariège, France",FR,"Medium-sized, elegant French scenthound with distinctive tricolor coat, lean body, long ears, and light limbs. Bred for pack-hunting hare and deer, known for keen nose, stamina, and scent-tracking abilities.",Hound,Developed in the Ariège region of southern France in the early 20th century by crossing local briquet hounds with Grand Bleu de Gascogne and Grand Gascon-Saintongeois to create a versatile and durable pack hound for hunting hare,"{'id': 'hmOHpgNB1H', 'url': 'https://cdn4.thedogapi.com/optimized/hmOHpgNB1H.jpg', 'width': 1056, 'height': 1008}",22.0,30.0,26.0,50.0,61.0,55.5,10.0,14.0,12.0
Ariège Pointer,2,"intelligent, gentle, docile, loyal, work-focused, adaptable","Ariège, France",FR,"Medium to large, elegant and muscular French pointing dog with distinctive orange and white coat pattern and fine nose, known for its endurance, docile nature, and versatile hunting abilities",Sporting,"Originated in the Ariège region of southern France in the 19th century, descended from old French pointing breeds crossed with Spanish Pointer and other southern pointing breeds. Faced near extinction after World War II but was revived by passionate breeders in the 1990s.","{'id': 'gl5sDwrqvg', 'url': 'https://cdn4.thedogapi.com/optimized/gl5sDwrqvg.jpg', 'width': 1136, 'height': 944}",22.0,30.0,26.0,56.0,67.0,61.5,12.0,14.0,13.0
Armant,2,"loyal, courageous, intelligent, protective, alert",Egypt,EG,"Medium-sized Egyptian herding dog with a sturdy, well-muscled build and distinctive shaggy, wiry coat. Known for being courageous, protective, and alert with an intelligent expression.",Herding,"Named after the town of Armant along the Nile in Egypt, believed to have descended from European herding dogs, possibly Briards, brought by Napoleon's armies and crossed with native Egyptian dogs. Developed as versatile livestock guardians and herding dogs, officially recognized in Egypt as the national herding breed.","{'id': 'QwT4EBPJLg', 'url': 'https://cdn4.thedogapi.com/optimized/QwT4EBPJLg.jpg', 'width': 1200, 'height': 896}",23.0,29.0,26.0,53.0,58.0,55.5,12.0,14.0,13.0
Armenian Gampr,2,"protective, independent, loyal, calm, intelligent",Armenian Highlands,AM,"Large, powerful ancient livestock guardian dog from the Armenian Highlands, known for its thick double coat, formidable protective instincts, and independent temperament developed through millennia of natural selection",Working,"Ancient landrace breed native to the Armenian Highlands, used for millennia as livestock and home guardian protecting against predators and intruders, developed through natural selection rather than selective breeding for appearance","{'id': 'PnA50DsXJt', 'url': 'https://storage.googleapis.com/dog-api-uploads-prod/originals/45445836-56d0-4d66-9f9d-2f8140cf4b6c.jpeg', 'width': 1408, 'height': 768}",41.0,68.0,54.5,58.0,71.0,64.5,12.0,14.0,13.0
Artois Hound,2,"energetic, loyal, alert, courageous, calm, affectionate","Artois, France",FR,"Medium-sized French scent hound with distinctive short, dense tricolor coat and powerful build. Known for its endurance, strong hunting instincts, and calm yet energetic temperament.",Hound,"Ancient French scenthound from the Artois region dating back to the 15th century, descended from the St. Hubert Hound. Used by nobility for hunting, the breed faced near extinction after World War II but was revived in the 1970s by dedicated breeders following historical standards","{'id': 'tK427WKY9r', 'url': 'https://cdn4.thedogapi.com/optimized/tK427WKY9r.jpg', 'width': 1232, 'height': 864}",23.0,30.0,26.5,51.0,61.0,56.0,12.0,15.0,13.5
Aussiedoodle,2,"intelligent, energetic, friendly, loyal, affectionate, playful",United States,US,"Designer crossbreed combining Australian Shepherd and Poodle traits, known for high intelligence, energetic nature, and often a low-shedding coat with varied coat types",Mixed,Modern designer crossbreed developed in the late 20th century/1990s in the United States by crossing Australian Shepherd and Poodle to create a highly intelligent low-shedding companion dog,"{'id': '3NmiFCb8cr', 'url': 'https://cdn4.thedogapi.com/optimized/3NmiFCb8cr.jpg', 'width': 1408, 'height': 768}",16.0,32.0,24.0,46.0,64.0,55.0,10.0,15.0,12.5
Australian Cattle Dog,2,"intelligent, alert, loyal, energetic, courageous",Australia,AU,"Compact, muscular working dog with distinctive coat markings and exceptional endurance for cattle herding; known as the Heeler",Herding,"Developed in 19th century Australia by crossing British herding dogs including blue merle Collies with native Dingo, with later infusions of Dalmatian and Black and Tan Kelpie to create a hardy cattle herding dog for harsh Australian conditions","{'id': 'ZxP-viFTK', 'url': 'https://cdn2.thedogapi.com/images/ZxP-viFTK.jpg', 'width': 1080, 'height': 1350}",16.0,23.0,19.5,43.0,51.0,47.0,12.0,16.0,14.0
Australian Kelpie,2,"intelligent, energetic, loyal, work-focused, alert",Australia,AU,"Medium-sized athletic herding dog with exceptional energy and intelligence, developed for working sheep over vast distances in harsh Australian conditions. Known for their lithe, agile build and inexhaustible work ethic.",Herding,Developed in Australia during the late 19th century from crosses of imported Scottish Collies with Dingoes and other working dogs to create the ultimate sheep herding dog capable of working independently over vast distances in harsh climates,"{'id': '2pZrCf0DNu', 'url': 'https://storage.googleapis.com/dog-api-uploads-prod/originals/e4eea683-60f7-4095-9dc1-d35458f1d9ac.jpeg', 'width': 1216, 'height': 880}",12.0,21.0,16.5,41.0,51.0,46.0,12.0,16.0,14.0
Australian Shepherd,2,"intelligent, energetic, work-focused, loyal, devoted, athletic",Western United States,US,"Medium-sized, agile herding dog with striking multicolored coat, expressive eyes, and keen herding instincts. Known for their intense work drive and weather-resistant double coat.",Herding,"Despite its name, the Australian Shepherd was developed in the American West in the 19th century from Basque shepherd dogs brought by immigrants from the Pyrenees region. The breed's intelligence and versatility made it popular on the rodeo circuit and for ranching work.","{'id': 'G0k1fak65p', 'url': 'https://storage.googleapis.com/dog-api-uploads-prod/originals/941d27a3-a346-4b56-bfed-a76d4ec745cd.jpeg', 'width': 1264, 'height': 848}",18.0,29.0,23.5,46.0,58.0,52.0,12.0,15.0,13.5
Australian Silky Terrier,2,"friendly, intelligent, alert, energetic, confident",Australia,AU,"A small, spirited toy terrier with a refined but substantial build, characterized by its long, straight, glossy blue-and-tan silky coat that is parted down the middle and lively, alert demeanor",Toy,"Developed in Australia in the late 19th century by crossing Yorkshire Terriers with Australian Terriers to create a small companion dog with a long, silky coat, combining hardiness with refined features and vermin hunting ability","{'id': 'ByzGsl5Nm', 'url': 'https://cdn2.thedogapi.com/images/ByzGsl5Nm_1280.jpg', 'width': 1599, 'height': 1142}",3.5,5.0,4.25,23.0,25.0,24.0,,,
Australian Stumpy Tail Cattle Dog,2,"loyal, alert, energetic, intelligent, courageous, independent, work-focused",Australia,AU,"Medium-sized, rugged working dog with naturally short tail, bred for herding cattle in harsh Australian conditions. This compact, athletic breed combines intelligence, stamina, and exceptional herding prowess.",Herding,"Developed in the early-to-mid 1800s by Australian cattlemen crossing British herding dogs (such as the Smithfield) with native Australian dingo-type dogs. Bred specifically for working ability and natural bob-tail, developing parallel to the Australian Cattle Dog as an independent herding breed.","{'id': 'wgwRfjm7ZK', 'url': 'https://cdn4.thedogapi.com/optimized/wgwRfjm7ZK.jpg', 'width': 1264, 'height': 832}",14.5,23.0,18.75,43.0,51.0,47.0,12.0,15.0,13.5
