id,name,species_id,life_span,temperament,origin,country_code,description,breed_group,history,reference_image_id,weight,height,image,weight_min_kg,weight_max_kg,weight_avg_kg,height_min_cm,height_max_cm,height_mid_cm,life_span_min_years,life_span_max_years,life_span_mid_years
7,Alapaha Blue Blood Bulldog,2,12-13,"loyal, protective, intelligent, confident, alert","Alapaha River region of southern Georgia, United States",US,"A powerful, athletic bulldog breed with distinctive blue merle or patched coat patterns and muscular build. Originally developed as a 'catch dog' for farm work, livestock protection, and family guardian with strong protective instincts.",Working,"Developed in the Alapaha River region of southern Georgia as a multi-purpose catch dog for working cattle and hogs, and as a family guardian. Descended from Old English Bulldogs and recreated the original plantation bulldogs of the 1800s, maintained by the Lane family.",33mJ-V3RX,"{'imperial': 'Male: 70-90; Female: 55-75', 'metric': 'Male: 32-41; Female: 25-34'}","{'imperial': 'Male: 20-24; Female: 18-22', 'metric': 'Male: 51-61; Female: 46-56'}","{'id': '33mJ-V3RX', 'url': 'https://cdn2.thedogapi.com/images/33mJ-V3RX.jpg', 'width': 1828, 'height': 2065}",25.0,41.0,33.0,46.0,61.0,53.5,12.0,13.0,12.5
8,Alaskan Husky,2,10-15,"energetic, intelligent, work-focused, athletic, friendly, independent","Alaska, United States",US,"Medium-sized athletic sled dog bred for performance rather than appearance, with variable coat colors and exceptional endurance. Built for speed and arctic conditions, this working dog represents a blend of various Northern breeds and pointers optimized for sled racing.",Mixed,"Developed in Alaska as a purpose-bred sled dog through selective breeding of various northern breeds (Siberian Husky, Alaskan Malamute, Inuit dogs) with European breeds like Pointers, Greyhounds, and Salukis to create the ideal combination of speed, endurance, and work ethic for sled racing",Nk8cSr_aj,"{'imperial': 'Male: 38-60; Female: 35-55', 'metric': 'Male: 17-27; Female: 16-25'}","{'imperial': 'Male: 21-26; Female: 20-25', 'metric': 'Male: 53-66; Female: 51-64'}","{'id': 'Nk8cSr_aj', 'url': 'https://cdn2.thedogapi.com/images/Nk8cSr_aj.jpg', 'width': 1350, 'height': 869}",16.0,27.0,21.5,51.0,66.0,58.5,10.0,15.0,12.5
265,Alaskan Klee Kai,2,,"alert, intelligent, energetic, loyal, curious, playful","Wasilla, Alaska, United States",US,"Small to medium spitz-type dog resembling a miniature Alaskan Husky with striking masked face, erect ears, curled tail, and lively, alert personality",Non-Sporting,"Developed in the 1970s by Linda S. Spurlin in Alaska to create a companion-sized version of the Alaskan Husky. Foundation stock included Siberian and Alaskan Huskies, with potential crosses of Schipperke and American Eskimo Dog to reduce size. Recognized by UKC but not currently AKC recognized.",4xSi03c0uC,"{'imperial': 'Male: 15-23; Female: 10-18', 'metric': 'Male: 7-10.4; Female: 4.5-8.2'}","{'imperial': 'Male: 15-17; Female: 13-15', 'metric': 'Male: 38-43; Female: 33-38'}","{'id': '4xSi03c0uC', 'url': 'https://cdn4.thedogapi.com/optimized/4xSi03c0uC.jpg', 'width': 1104, 'height': 960}",4.5,10.4,7.45,33.0,43.0,38.0,,,
9,Alaskan Malamute,2,10-14,"affectionate, friendly, loyal, playful, intelligent, energetic, outgoing","Alaska, United States",US,"An immensely strong, heavy-duty freighting dog of spitz type, the Alaskan Malamute is a large, powerful Arctic sled dog with a thick double coat, deep chest, well-muscled body, wolf-like appearance, and characteristically plumed tail carried over the back",Working,"One of the oldest Arctic sled dogs, developed by the native Mahlemut Inuit tribe of northwestern Alaska. Essential for survival, used for hauling heavy freight across Arctic terrain, hunting large predators like seals and polar bears",GhtSdrW29,"{'imperial': 'Male: 80-90; Female: 70-80', 'metric': 'Male: 36-41; Female: 32-36'}","{'imperial': 'Male: 24-26; Female: 22-24', 'metric': 'Male: 61-66; Female: 56-61'}","{'id': 'GhtSdrW29', 'url': 'https://cdn2.thedogapi.com/images/GhtSdrW29.jpg', 'width': 3888, 'height': 2592}",32.0,41.0,36.5,56.0,66.0,61.0,10.0,14.0,12.0
351,Alopekis,2,,"intelligent, alert, loyal, adaptable, energetic, playful",Greece,GR,"Small, fox-like Greek primitive landrace breed with wedge-shaped head and agile build, historically used as an all-purpose farm dog for companionship, watching, and vermin control",Primitive,"Ancient Greek landrace breed with depictions found on ancient pottery, traditionally used as versatile farm companion for vermin control and watchdog duties. Kept for thousands of years in rural Greek communities, with current preservation and standardization efforts ongoing for official recognition.",aaYs2IPh2L,"{'imperial': '7-15', 'metric': '3-7'}","{'imperial': '8-12.5', 'metric': '20-32'}","{'id': 'aaYs2IPh2L', 'url': 'https://storage.googleapis.com/dog-api-uploads-prod/originals/f486f51f-73fb-4e75-b79d-45aeaaa0f471.jpeg', 'width': 1408, 'height': 768}",3.0,7.0,5.0,20.0,32.0,26.0,,,
352,Alpine Dachsbracke,2,12-14,"intelligent, courageous, loyal, work-focused, energetic",Austria,AT,"Sturdy, short-legged Austrian scent hound with dense double coat, originally bred for tracking wounded game in high-altitude Alpine terrain. Built low-to-the-ground with a robust, weather-resistant build designed for rugged mountainous conditions.",Hound,"Developed in the Austrian Alps during the mid-19th century as a durable scent hound for tracking wounded deer, boar, and hare over rugged terrain. Descended from larger Austrian hounds crossed with Dachshunds, it was a favorite of Crown Prince Rudolf of Habsburg and is officially recognized by the FCI.",CDaBctcuIR,"{'imperial': '33-40', 'metric': '15-18'}","{'imperial': '13-16', 'metric': '34-42'}","{'id': 'CDaBctcuIR', 'url': 'https://cdn4.thedogapi.com/optimized/CDaBctcuIR.jpg', 'width': 1360, 'height': 784}",15.0,18.0,16.5,34.0,42.0,38.0,12.0,14.0,13.0
10,American Bulldog,2,10-12,"confident, loyal, protective, energetic, affectionate, courageous",United States,US,"A powerful, athletic, short-coated dog of the molosser type with a broad head and muscular build, known for its confidence, strength, and loyalty as a family companion and guardian. Originally bred for farm work and protection.",Working,"Descended from Old English Bulldogs brought by working-class immigrants to the American South. Developed as versatile all-around farm utility dogs for guarding property, catching livestock, and protection. The breed was preserved from near extinction after WWII by breeders John D. Johnson and Alan Scott.",jDnFo8MXy,"{'imperial': 'Male: 75-100; Female: 60-80', 'metric': 'Male: 34-45; Female: 27-36'}","{'imperial': 'Male: 22-25; Female: 20-23', 'metric': 'Male: 56-64; Female: 51-58'}","{'id': 'jDnFo8MXy', 'url': 'https://cdn2.thedogapi.com/images/jDnFo8MXy.jpg', 'width': 2560, 'height': 1920}",27.0,45.0,36.0,51.0,64.0,57.5,10.0,12.0,11.0
11,American Bully,2,8-13,"confident, gentle, loyal, affectionate, outgoing, eager to please",United States,US,"A compact, muscular companion breed with a powerfully built body, broad head, and confident demeanor. Known for its gentle, affectionate nature and loyalty to family, the American Bully was developed from American Pit Bull Terriers and other bully breeds to create an excellent companion dog with a stable temperament.",Companion,"Developed in the United States between the 1980s and 1990s as a companion breed through selective breeding of American Pit Bull Terriers, American Staffordshire Terriers, and other bulldog-type breeds to produce a dog with a gentler temperament and more muscular, 'bullier' physique. Recognized by the United Kennel Club in 2013.",KcUu-6YV0,"{'imperial': 'Male: 65-120; Female: 55-100', 'metric': 'Male: 29-54; Female: 25-45'}","{'imperial': 'Male: 17-20; Female: 16-19', 'metric': 'Male: 43-51; Female: 41-48'}","{'id': 'KcUu-6YV0', 'url': 'https://cdn2.thedogapi.com/images/KcUu-6YV0.jpg', 'width': 2048, 'height': 1365}",25.0,54.0,39.5,41.0,51.0,46.0,8.0,13.0,10.5
87,American Cocker Spaniel,2,10-14,"gentle, smart, happy, outgoing, affectionate",United States,US,"The smallest member of the Sporting Group, the American Cocker Spaniel is a medium-sized sporting dog with a beautifully chiseled head, long flowing silky coat, long ears, and gentle expression",Sporting,"Developed in the United States from English Cocker Spaniels brought over in the late 1800s. American breeders selected for smaller size, more refined head, and heavier coat for woodcock hunting, leading to recognition as a separate breed by the AKC in 1946",IKwhmJWCwN,"{'imperial': 'Male: 25-30; Female: 20-25', 'metric': 'Male: 11-14; Female: 9-11'}","{'imperial': 'Male: 14.5-15.5; Female: 13.5-14.5', 'metric': 'Male: 37-39; Female: 34-37'}","{'id': 'IKwhmJWCwN', 'url': 'https://cdn4.thedogapi.com/optimized/IKwhmJWCwN.jpg', 'width': 1200, 'height': 880}",9.0,14.0,11.5,34.0,39.0,36.5,10.0,14.0,12.0
353,American English Coonhound,2,11-12,"energetic, friendly, intelligent, alert, work-focused",United States,US,"Athletic medium to large scent hound with excellent tracking ability, swift and powerful build, and a hard, protective short coat. Bred for treeing raccoons and fox, known for speed, endurance, and distinctive melodious baying.",Hound,"Descended from English Foxhounds brought to American colonies in the 17th and 18th centuries. Developed by breeders in the American South for hunting raccoons and foxes in rougher terrain, recognized by AKC in 2011",QZZXQl1UXs,"{'imperial': 'Male: 45-65; Female: 40-60', 'metric': 'Male: 20-30; Female: 18-27'}","{'imperial': 'Male: 24-26; Female: 23-25', 'metric': 'Male: 61-66; Female: 58-64'}","{'id': 'QZZXQl1UXs', 'url': 'https://cdn4.thedogapi.com/optimized/QZZXQl1UXs.jpg', 'width': 1392, 'height': 768}",18.0,30.0,24.0,58.0,66.0,62.0,11.0,12.0,11.5
12,American Eskimo Dog,2,,"intelligent, alert, friendly, playful, energetic, eager to please",United States,US,"Compact spitz-type companion dog with distinctive dense white double coat, black points on lips, nose, and eye rims, wedge-shaped head, and plumed tail carried over the back. Available in three sizes (toy, miniature, standard) with an alert expression and striking appearance.",Non-Sporting,"Descended from white German Spitz dogs brought to America by German immigrants. Name changed from German Spitz to American Eskimo Dog during World War I due to anti-German sentiment. Became popular circus performers in the 19th and early 20th centuries, recognized by AKC in 1994",EB8A5HQHX,"{'imperial': '6-35', 'metric': '3-16'}","{'imperial': '9-19', 'metric': '23-48'}","{'id': 'EB8A5HQHX', 'url': 'https://cdn2.thedogapi.com/images/EB8A5HQHX.jpg', 'width': 1920, 'height': 1631}",3.0,16.0,9.5,23.0,48.0,35.5,,,
14,American Foxhound,2,11-13,"independent, friendly, gentle, energetic, intelligent",United States,US,"A sleek, powerful scenthound with a long, fine-boned body and athletic build, known for incredible stamina, speed, and melodious baying voice. One of the oldest American-bred dogs, developed for endurance and pack hunting.",Hound,"Developed from English Foxhounds imported to Colonial America in the 1650s, refined for American terrain and fox hunting. George Washington was a key figure in the breed's development, breeding them to be lighter, taller, and faster for hunting American red fox over varied terrain.",S14n1x9NQ,"{'imperial': 'Male: 65-70; Female: 60-65', 'metric': 'Male: 29-32; Female: 27-29'}","{'imperial': 'Male: 22-25; Female: 21-24', 'metric': 'Male: 56-64; Female: 53-61'}","{'id': 'S14n1x9NQ', 'url': 'https://cdn2.thedogapi.com/images/S14n1x9NQ_1280.jpg', 'width': 3000, 'height': 2400}",27.0,32.0,29.5,53.0,64.0,58.5,11.0,13.0,12.0
266,American Hairless Terrier,2,,"alert, energetic, intelligent, friendly, playful, curious",United States,US,"Small to medium-sized, active and inquisitive terrier that comes in both hairless and coated varieties, notable for its alert expression, compact build, and friendly, intelligent nature",Terrier,"Originated in Louisiana in 1972 when a hairless puppy named Josephine was born in a litter of Rat Terriers. Developed by Edwin and Willie Scott, recognized by UKC in 1999 and AKC in 2016",ah0OKUinZL,"{'imperial': '12-16', 'metric': '5-7'}","{'imperial': '12-16', 'metric': '30-41'}","{'id': 'ah0OKUinZL', 'url': 'https://cdn4.thedogapi.com/optimized/ah0OKUinZL.jpg', 'width': 848, 'height': 1264}",5.0,7.0,6.0,30.0,41.0,35.5,,,
354,American Leopard Hound,2,12-15,"intelligent, energetic, loyal, work-focused, protective, athletic",United States,US,"Medium to large athletic scent hound known for its distinctive leopard-spotted or patched coat pattern and exceptional tracking ability. A tough, powerful, and driven American tree and trailing hound with strong hunting instincts and versatile hunting capabilities.",Hound,"One of the oldest American tree hound breeds, developed in North Carolina from dogs brought by Spanish conquistadors crossed with other scent hounds. Officially recognized by United Kennel Club in 1960s, bred for exceptional trailing and treeing abilities on variety of game.",CoV6SyP6Hk,"{'imperial': 'Male: 45-75; Female: 35-65', 'metric': 'Male: 20-34; Female: 16-29'}","{'imperial': 'Male: 21-27; Female: 21-25', 'metric': 'Male: 53-69; Female: 53-64'}","{'id': 'CoV6SyP6Hk', 'url': 'https://cdn4.thedogapi.com/optimized/CoV6SyP6Hk.jpg', 'width': 1200, 'height': 896}",16.0,34.0,25.0,53.0,69.0,61.0,12.0,15.0,13.5
15,American Pit Bull Terrier,2,12-16,"confident, intelligent, loyal, affectionate, eager to please, energetic",United States,US,"Medium-sized, muscular terrier with athletic build and short coat, known for its strength, confidence, intelligence, and affectionate nature towards people. Possesses great strength for its size and is both athletic and agile.",Terrier,Developed in the late 19th century from English bull-and-terrier breeds brought to America. Originally bred for bull-baiting and later refined as all-around farm dogs and loyal family companions. First recognized by the United Kennel Club in 1898.,oFvaQYx899,"{'imperial': 'Male: 35-60; Female: 30-50', 'metric': 'Male: 16-27; Female: 14-23'}","{'imperial': 'Male: 18-21; Female: 17-20', 'metric': 'Male: 46-53; Female: 43-51'}","{'id': 'oFvaQYx899', 'url': 'https://storage.googleapis.com/dog-api-uploads-prod/originals/a728c8bc-2a50-4d54-a903-91e5ab416294.jpeg', 'width': 1312, 'height': 816}",14.0,27.0,20.5,43.0,53.0,48.0,12.0,16.0,14.0
16,American Staffordshire Terrier,2,12-16,"confident, courageous, loyal, intelligent, smart",United States,US,"A muscular, stocky, but agile medium-sized terrier of remarkable strength with a broad head, strong build, smooth coat and confident, good-natured personality",Terrier,"Developed in the 19th century from crosses of bulldogs and terriers brought to America in the 1800s. Originally bred for bull-baiting and pit fighting, later refined to be larger than English Staffordshire Bull Terriers and developed into all-purpose farm dogs and family companions. Recognized by the AKC in 1936.",1AXCw6rj56,"{'imperial': 'Male: 55-70; Female: 40-55', 'metric': 'Male: 25-32; Female: 18-25'}","{'imperial': 'Male: 18-19; Female: 17-18', 'metric': 'Male: 46-48; Female: 43-46'}","{'id': '1AXCw6rj56', 'url': 'https://storage.googleapis.com/dog-api-uploads-prod/originals/fae232c8-6b6a-4b93-9f8a-09d0339b2a48.jpeg', 'width': 1008, 'height': 1056}",18.0,32.0,25.0,43.0,48.0,45.5,12.0,16.0,14.0
17,American Water Spaniel,2,10-14,"eager to please, intelligent, energetic, alert, happy","Wisconsin, United States",US,"Medium-sized versatile sporting dog with distinctive curly or wavy chocolate or liver coat, bred for hunting waterfowl in the icy waters and marshy banks of the Great Lakes region",Sporting,"Developed in the 19th century in the Fox and Wolf River valleys of Wisconsin as a compact, versatile hunter that could work from a skiff or boat. Ancestry likely includes Irish Water Spaniel and Curly-Coated Retriever. Named the state dog of Wisconsin in 1985 and foundation breed for the Boykin Spaniel, recognized by AKC in 1940.",SkmRJl9VQ,"{'imperial': 'Male: 30-45; Female: 25-40', 'metric': 'Male: 14-20; Female: 11-18'}","{'imperial': '15-18', 'metric': '38-46'}","{'id': 'SkmRJl9VQ', 'url': 'https://cdn2.thedogapi.com/images/SkmRJl9VQ_1280.jpg', 'width': 1600, 'height': 1264}",11.0,20.0,15.5,38.0,46.0,42.0,10.0,14.0,12.0
355,Andalusian Terrier,2,12-15,"intelligent, energetic, alert, loyal, courageous, playful","Andalusia, Spain",ES,"A slender, medium-sized Spanish working terrier with a predominantly white coat and characteristic head markings, known for its lively, athletic nature and energetic, alert temperament",Terrier,"Developed in the late 19th and early 20th centuries in the Andalusia region of Spain, particularly in the province of Cádiz. Originated from crosses between Fox Terriers brought by English wine merchants and local ratter dogs used to control vermin in wineries (bodegas). Traditional Spanish working terrier developed for vermin control, hunting, and farm work; recognized by regional and national breed clubs in Spain though not by AKC or FCI",CsraIMHSeT,"{'imperial': 'Male: 20-27; Female: 18-25', 'metric': 'Male: 9-12; Female: 8-11'}","{'imperial': 'Male: 15-17; Female: 14-16', 'metric': 'Male: 38-43; Female: 36-41'}","{'id': 'CsraIMHSeT', 'url': 'https://cdn4.thedogapi.com/optimized/CsraIMHSeT.jpg', 'width': 928, 'height': 1152}",8.0,12.0,10.0,36.0,43.0,39.5,12.0,15.0,13.5
356,Anglo-Français de Petite Vénerie,2,12-14,"energetic, intelligent, alert, loyal, work-focused, devoted",France,FR,"Medium-sized, elegant and well-balanced French scenthound with a short tricolor coat, bred for hunting small game in packs with excellent scenting ability and strong pack hunting instincts",Hound,Developed in France by crossing English Foxhounds and Harriers with various French scenthound breeds like the Poitevin and Porcelaine to create efficient pack hounds suited for 'petite vénerie' - the hunting of small game,FXEdpvJhEP,"{'imperial': '35-44', 'metric': '16-20'}","{'imperial': '19-22', 'metric': '48-56'}","{'id': 'FXEdpvJhEP', 'url': 'https://storage.googleapis.com/dog-api-uploads-prod/originals/882efc4d-12ea-4da2-ac75-90a116e8c86b.jpeg', 'width': 1408, 'height': 768}",16.0,20.0,18.0,48.0,56.0,52.0,12.0,14.0,13.0
19,Appenzeller Sennenhund,2,12-15,"energetic, intelligent, confident, loyal, alert, work-focused","Appenzell region, Switzerland",CH,"Medium-sized, muscular and agile Swiss mountain dog with distinctive tricolor coat and tightly curled tail carried over the back. Known for their lively, self-assured expression and work-focused temperament, this ancient breed combines herding instincts with guarding abilities.",Working,"One of the four Swiss Sennenhund breeds, this ancient breed from the Appenzell region was used for centuries as an all-purpose farm dog for herding cattle, guarding property, and pulling carts. Formally established in the late 19th century through the efforts of forester Max Siber and Professor Albert Heim.",lIYQQfaDwr,"{'imperial': 'Male: 48-70; Female: 44-62', 'metric': 'Male: 22-32; Female: 20-28'}","{'imperial': 'Male: 20-22; Female: 19-21', 'metric': 'Male: 51-56; Female: 48-54'}","{'id': 'lIYQQfaDwr', 'url': 'https://storage.googleapis.com/dog-api-uploads-prod/originals/2d8c642c-6f86-4275-bbba-a7f0a1c088f5.jpeg', 'width': 864, 'height': 1216}",20.0,32.0,26.0,48.0,56.0,52.0,12.0,15.0,13.5
359,Argentine Pila,2,12-15,"affectionate, alert, playful, gentle, intelligent",Argentina,AR,"An elegant and slender hairless dog native to Argentina, known for its soft, warm skin and lively, alert temperament. The breed comes in three size varieties and is prized as a companion dog.",Spitz and Primitive Types,"An ancient hairless breed native to Argentina, believed to have descended from dogs brought by pre-Incan peoples. Related to other South American hairless breeds and traditionally kept as a companion for perceived therapeutic warmth among indigenous peoples.",4SKqYWkRnW,"{'imperial': '9-55', 'metric': '4-25'}","{'imperial': '10-20', 'metric': '25-51'}","{'id': '4SKqYWkRnW', 'url': 'https://cdn4.thedogapi.com/optimized/4SKqYWkRnW.jpg', 'width': 1312, 'height': 816}",4.0,25.0,14.5,25.0,51.0,38.0,12.0,15.0,13.5
